Time (s),Total Mass Discharged (kg),Oxidizer Tank Pressure (Pa),Chamber Pressure (Pa),Mass Flow Rate Oxidizer (kg/s),Mass Flow Rate Fuel (kg/s),O/F Ratio,Grain ID (m),Nozzle Mass Flow Rate (),Regression Rate (m/s),Fuel Mass (kg),dP (Pa),Isp (s)
0.0,0.0,0.0,202506.63092213823,5.265821058221939,0.0,6.29035656889921,0.0,0.0,0.0,0.0,0.0,0.0
0.01,7.673341789417781,5516000.000024038,302715.371827534,5.2137357791269965,0.8371260039943077,6.255616608361051,0.09006374009880466,0.03493525745647777,0.00318700494023346,1.5368287399600569,-11026.684293850325,249.60737760085263
0.02,7.621204431626511,5504973.315730188,401668.7387532784,5.161069613707283,0.8334487398346134,6.2203445278559615,0.09012715529277725,0.06955074089833452,0.0031707596986292655,1.5284942525617107,-12680.699172472581,250.1933615902579
0.03,7.5695937354894385,5492292.616557715,499231.77416319924,5.108303725816913,0.8297079993873279,6.184853229891198,0.0901902414425507,0.10376862381788841,0.0031543074886721425,1.5201971725678374,-12842.680251993239,250.54824574423822
0.04,7.518510698231269,5479449.936305722,595329.8672830176,5.0555658747483125,0.8259377443475366,6.1492248569055254,0.09025299699725615,0.13752529679268188,0.0031377777352727607,1.511937795124362,-12772.824039660394,250.77895340306566
0.05,7.467955039483786,5466677.112266062,689919.037198232,5.002909866717377,0.8221468546675369,6.113493346596642,0.09031542108097201,0.17078513173397286,0.003121204185792622,1.5037163265776867,-12667.734387895092,250.93037053082446
0.060000000000000005,7.4179259408166125,5454009.377878167,782973.1305592379,4.9503683297313525,0.8183389730034591,6.077678958112519,0.09037751309295369,0.20353091530875803,0.003104600599083904,1.4955329368476522,-12557.035817496479,251.02859564479007
0.06999999999999999,7.368422257519299,5441452.34206067,874477.2357634074,4.897964740092918,0.8145162592248434,6.041796115056948,0.09043927259422715,0.23574955496010191,0.0030879750636727743,1.4873877742554038,-12445.087537556887,251.08649881557704
0.08,7.31944261011837,5429007.254523113,964424.0440584398,4.845717362460007,0.8106802425667009,6.005855956002367,0.09050069925923075,0.26743750817863726,0.003071333250180053,1.4792809718297368,-12332.567189166322,251.11298702212352
0.09,7.27098543649377,5416674.687333947,1052811.6084928298,4.793641032685516,0.8068320981986098,5.9698674791517865,0.09056179284860473,0.29859174013538986,0.0030546794686988673,1.4712126508477508,-12219.629283012822,251.11405668063716
0.09999999999999999,7.2230490261669145,5404455.058050934,1139641.9076090083,4.741748186210036,0.8029727710750806,5.93383820004928,0.09062255319146857,0.3292113995334399,0.003038017143191748,1.463182923137,-12106.350388096645,251.09379276444568
0.11,7.175631544304814,5392348.707662838,1224919.8742570777,4.690049502390889,0.7991030470245475,5.897774562333737,0.09068298017315,0.3592964647378521,0.003021349084071612,1.4551918926667544,-11992.790876814164,251.0552313378426
0.12,7.128731049280905,5380355.916786023,1308652.8418637088,4.638554335844289,0.7952235971079651,5.861682212191435,0.09074307372631893,0.388847580598432,0.0030046776584459135,1.4472396566956747,-11879.004268729128,251.0008782716887
0.13,7.082345505922462,5368476.912517294,1390849.6429324874,4.5872709446018165,0.7913350072436168,5.825566138777445,0.09080283382439676,0.41785786377953027,0.0029880049038916705,1.4393263066232385,-11765.039378169924,250.9322914507222
0.14,7.036472796476444,5356711.873139124,1471520.5975202702,4.536206936121245,0.78743779322442,5.789430971573706,0.0908622604761278,0.44634655984132154,0.002971332586552434,1.4314519286909944,-11650.941114934161,250.85106690192865
0.15000000000000002,6.991110727115231,5345060.93202419,1550677.0495769766,4.485369230730583,0.7835324332208413,5.753280946109505,0.09092135372262543,0.4743110226006824,0.0029546623248814957,1.423616604358786,-11536.751650883816,250.75813549267156
0.16,6.946257034807926,5333524.180373306,1628331.4208233173,4.434764289033056,0.7796193637586373,5.717120055719196,0.09098011363412856,0.5017605058960043,0.002937995575156558,1.4158204107211996,-11422.510479965247,250.65444935771808
0.17,6.901909391917595,5322101.669893341,1704497.002609247,4.3843980490368795,0.7756989963148808,5.6809520009805805,0.09103854030802253,0.5286878800139885,0.00292133369469827,1.4080634207580507,-11308.254998942837,250.54075956241942
0.18000000000000002,6.858065411427226,5310793.414894398,1779187.2053460008,4.334276017145938,0.7717717115511793,5.644780247756968,0.09109663386643506,0.5550886697010511,0.0029046779206267346,1.4003457036425389,-11194.020436497405,250.41758766562148
0.19,6.814722651255767,5299599.394457901,1852416.1877559077,4.2844036978101006,0.7678378655871011,5.60860833080738,0.09115439445431489,0.5809965143878005,0.0028880293939913234,1.392667324986668,-11079.840097974055,250.2855487267015
0.2,6.771878614277666,5288519.554359927,1924198.5066170401,4.234786203102096,0.7638978236858527,5.5724395732822725,0.09121182224005135,0.6063999867682944,0.0028713892868232537,1.3850283467498095,-10965.746471751481,250.14503651332376
0.21000000000000002,6.729530752246645,5277553.807888175,1994548.995914307,4.185428445942452,0.7599519290269713,5.536277222040229,0.09126891741374686,0.6313038040078895,0.0028547586847756734,1.3774288274595397,-10851.770372578874,249.9964155017377
0.22,6.68767646778722,5266702.0375155965,2063482.7693208752,4.136335203099253,0.756000517690846,5.5001244919512295,0.09132568018662217,0.6557157550000137,0.0028381386437656355,1.3698688222826312,-10737.941396149807,249.83998858064612
0.23,6.646313115756228,5255964.096119447,2131015.1520682145,4.087511104013183,0.7520439235788721,5.463984557048668,0.09138211079079424,0.6796399187924964,0.002821530208603506,1.3623483830468424,-10624.288133200258,249.6760279037804
0.24000000000000002,6.605438004716096,5245339.807986246,2197161.639247536,4.038960664852753,0.7480824774184617,5.427860574812647,0.09143820947898146,0.7030815463243754,0.002804934409360736,1.3548675582726577,-10510.838181203231,249.50447686981985
0.25,6.565048398067569,5234828.969805043,2261937.8601582358,3.990688307937871,0.7441165094761419,5.391755700343195,0.0914939765244144,0.7260459316497082,0.00278835227164721,1.3474263931778963,-10397.618259279057,249.32604499292015
0.26,6.52514151498819,5224431.351545764,2325359.5483385785,3.94269837873924,0.7401463511567961,5.355673099165447,0.09154941222086785,0.7485384314054211,0.0027717848226722764,1.3400249296663282,-10284.654289472848,249.14067327953717
0.27,6.485714531200798,5214146.697256291,2387442.516334496,3.8949951604349247,0.7361723364619874,5.319615958602571,0.0916045168828029,0.7705644376787488,0.0027552330967522513,1.3326632063017083,-10171.971469668671,248.9489778208273
0.28,6.446764579596448,5203974.725786623,2448202.63388461,3.847582886408263,0.7321948032989424,5.283587497952986,0.09165929084560762,0.7921293535710848,0.0027386981402361694,1.325341258268719,-10059.59433869645,248.750210510716
0.29000000000000004,6.408288750732366,5193915.131447926,2507655.810187745,3.800465751381758,0.7282140946655898,5.247590977954157,0.09171373446592658,0.8132386053434073,0.002722181015948044,1.318059117322063,-9947.546834767796,248.54488015438585
0.3,6.370284093218548,5183967.584613158,2565817.970412299,3.7536479205619626,0.7242305597650486,5.211629709028439,0.09176784812207353,0.8338975791346803,0.002705682807347884,1.3108168117244126,-9835.852349662222,248.33242065172763
0.31,6.332747614012929,5174131.732263496,2622705.060142336,3.7071335436041744,0.7202445549919402,5.175707063491879,0.09182163221451749,0.8541121260674045,0.0026892046221980866,1.3036143661744932,-9724.533775569871,248.11417287221047
0.32,6.295676278576887,5164407.198487926,2678333.016015866,3.660926749462636,0.716256445376005,5.139826473399163,0.09187508716647594,0.8738870047109174,0.0026727475979226607,1.2964518017207332,-9613.613564897329,247.88959746756828
0.33,6.25906701108226,5154793.584923029,2732718.14029799,3.6150316655495427,0.7122666044096088,5.103991447177985,0.09192821342449432,0.8932280324054499,0.002656312900919223,1.289329135676637,-9503.113737009466,247.65875265979335
0.34,6.222916694426765,5145290.4711860195,2785875.7609280767,3.569452138401542,0.7082754160076633,5.0682053537090646,0.0919810114591708,0.9121176896811701,0.0026399017338238156,1.2822463815165603,-9393.05595019646,247.42167027701785
0.35000000000000003,6.187222173042749,5135897.415235823,2837821.9476909842,3.524192722522765,0.7042832500441818,5.032472195023802,0.09203348176405718,0.9306188842938352,0.002623515244319241,1.2752035490161184,-9283.46075605601,247.17839184719855
0.36000000000000004,6.151980245817522,5126613.954479767,2888572.537853785,3.4792574172212563,0.7002905502404067,4.996795626689944,0.09208562486110898,0.9486907814562829,0.0026071548525901053,1.2682006435137143,-9174.350350547582,246.92897494338757
0.37,6.1171876716453095,5117439.604129219,2938143.3278902476,3.43465038124296,0.6962977230121458,4.961179515581779,0.09213744129784648,0.9663505889915588,0.0025908218368751344,1.261237666283593,-9065.745030065998,246.67342256324272
0.38,6.08284116783288,5108373.859099153,2986550.0689115413,3.390375791836434,0.6923052009014415,4.925627833365315,0.09218893164924462,0.9836037150138028,0.0025745175699070214,1.2543146142745785,-8957.665307356045,246.41173844945286
0.39,6.048937409914516,5099416.193791797,3033808.4553166186,3.3464378480625294,0.6883134305987634,4.890144662166734,0.09224009651872751,1.0004555521197982,0.0025582434741446853,1.2474314799685908,-8850.131453178823,246.14393878226957
0.4,6.015473031433891,5090566.062338619,3079934.144549617,3.3028407797077053,0.684322873708154,4.854734204941957,0.09229093653921794,1.0169119310546653,0.0025420010245211727,1.2405882512315094,-8743.163540983573,245.87002783817258
0.41000000000000003,5.982444623636814,5081822.898797635,3124942.7310647974,3.2595888313660666,0.6803340080586747,4.81940077598853,0.09234145237428219,1.0329772784750528,0.0025257917532125244,1.2337849111509227,-8636.781484941952,245.58999766281562
0.42000000000000004,5.949848735323154,5073186.117312693,3168849.752097755,3.2166862830283676,0.6763473267477899,4.784148820948595,0.09239164471920172,1.0486574055316529,0.0025096172459761735,1.2270214378834448,-8531.00500666257,245.30383257036857
0.43,5.91768187249287,5064655.1123060305,3211670.685943975,3.174137445511578,0.6723633405681905,4.748982916784454,0.09244151430222282,1.0639576295987427,0.0024934791510546907,1.2202978044777628,-8425.853708837181,245.01158878213084
0.44,5.885940498037754,5056229.258597193,3253420.951901659,3.131946661736756,0.6683825781501848,4.7139077765513315,0.09249106188581446,1.0788832469178407,0.002477379179582138,1.213613978696261,-8321.347070518881,244.71318271885485
0.45,5.854621031420386,5047907.911526674,3294116.3769933702,3.0901183065174447,0.6644055866591584,4.678928253054283,0.09254028826797545,1.0934394541347927,0.002461319108049324,1.2069699228296693,-8217.504462827928,244.40864439579985
0.46,5.8237198483552115,5039690.4070638465,3333771.5735362545,3.048656376649965,0.660432932370847,4.644048999331623,0.09258919428358167,1.1076030279182365,0.002445300780311583,1.2003655935059607,-8114.345158544369,244.09792314471187
0.47000000000000003,5.793233284588712,5031576.061905302,3372401.9843717087,3.007565905647372,0.6564651615624062,4.609275654731917,0.09263778080283643,1.1214487021309207,0.0024293259627373542,1.1938009418903366,-8011.887136209756,243.78102788186175
0.48000000000000004,5.763157625532238,5023564.174769092,3410022.778686123,2.9668511872668777,0.6525029377576458,4.574613368032885,0.09268604873987982,1.134928153982355,0.0024133968521692748,1.18727591251276,-7910.151381239295,243.45793946601387
0.49,5.733489113659569,5015654.023387853,3446649.0628689216,2.9265167310701456,0.6485468713048079,4.540067597233781,0.09273399904877301,1.148059165470863,0.0023975154446595347,1.180790443799712,-7809.156202509999,243.12863045330468
0.5,5.7042239463488675,5007844.867185343,3482295.8804738545,2.8865670783383335,0.6445976119063169,4.505643960483405,0.09278163272633468,1.1608469025226298,0.0023816838780832857,1.174344467680649,-7708.920677180402,242.79311026985863
0.51,5.675358275565484,5000135.946508163,3516978.2129077786,2.8470068008250196,0.6406558315869764,4.471348239314278,0.09282895081371273,1.1732965180215167,0.0023659043689023946,1.1679379093647793,-7609.463733709417,242.45133698625028
0.52,5.646888207557234,4992526.482774453,3550710.9793560123,2.807840498446518,0.6367222252547331,4.437186380981874,0.09287595439799472,1.185413116320077,0.002350179214099201,1.161570687112232,-7510.80426027067,242.10323442153702
0.53,5.618809802572769,4985015.678514183,3583509.0373818357,2.7690727973507876,0.6327975111618346,4.403164501122535,0.09292264461384953,1.1972018062743082,0.0023345107927407105,1.1552427120006137,-7412.96109303087,241.74897629256193
0.54,5.591119074599261,4977602.717421152,3615387.182695823,2.7307083469845357,0.6288824314069676,4.369288885521106,0.09296902264520339,1.2086676665196923,0.0023189015676932075,1.148953887686544,-7315.9530183961615,241.38842399627595
0.55,5.563811991129415,4970286.764402756,3646360.1520306943,2.6927518175682645,0.6249777523371188,4.335565992188932,0.09301508972694271,1.2198158004159352,0.0023033540869661314,1.1427041101631727,-7219.79877105169,241.02157804958983
0.56,5.536884472953733,4963066.965631704,3676442.621452752,2.6552078940422192,0.6210842649886072,4.302002450248698,0.09306084714664672,1.2306511512047118,0.0022878709852004095,1.1364932675132866,-7124.517032011412,240.6484471739262
0.5700000000000001,5.510332394013311,4955942.448599692,3705649.1985366996,2.618081274025856,0.6172027851561829,4.268605062239465,0.09310629624632247,1.241178779506922,0.002272454983787094,1.1303212396617248,-7030.126416449435,240.26902998686492
0.5800000000000001,5.484151581273053,4948912.322183243,3733994.4510325054,2.5813766718609474,0.6133341538634439,4.235380811852824,0.09315143842417181,1.2514042414711595,0.002257108892467257,1.1241878981230904,-6936.645474339835,239.88334651275215
0.59,5.458337814554443,4941975.676708903,3761492.8790534018,2.5450987841979966,0.6094792384752977,4.202336836881981,0.09319627513643766,1.261331374266198,0.002241835613292773,1.1180931057383374,-6844.09270825889,239.49139712545366
0.6,5.432886826712463,4935131.584000644,3788158.9252506983,2.5092523131918956,0.6056389297166359,4.169480453618545,0.09324080789902821,1.2709657050138845,0.0022266381295275813,1.112036716441171,-6752.486466682516,239.09319772149794
0.61,5.407794303580544,4928379.097533962,3814006.975335335,2.473841950173111,0.6018141447369549,4.136819145657149,0.09328503828936437,1.280312166638528,0.0022115195168081843,1.1060185749938016,-6661.845039092936,238.68876629328383
0.62,5.3830558840788125,4921717.252494869,3839051.358524955,2.438872368490978,0.5980058259907644,4.1043605605685025,0.09332896794814241,1.2893756722051049,0.0021964829389023613,1.100038516733894,-6572.18659210857,238.2781533656055
0.63,5.358667160393903,4915145.06590276,3863306.3567833267,2.40434821573603,0.5942149410365558,4.0721125056661,0.09337259858107959,1.2981611156119504,0.0021815316468586417,1.0940963673235284,-6483.529161060229,237.86139111900758
0.64,5.334623678236543,4908661.5367417,3886786.1784042805,2.3702740952063848,0.5904424822228079,4.040082933316099,0.09341593196063455,1.3066728292850252,0.00216666897774807,1.0881919425013005,-6395.890630153939,237.4385121258224
0.65,5.310920937284479,4902265.646111546,3909504.9849937144,2.3366545870253224,0.586689465124634,4.008279962871352,0.09345896992761119,1.3149167464979552,0.002151898348831406,1.0823250478500541,-6309.288678740151,237.00957738227282
0.66,5.287554391414226,4895956.357432806,3931476.88252287,2.3034942083558185,0.5829569313195997,3.9767118453933703,0.09350171439296433,1.322897164991076,0.0021372232676568387,1.0764954785368581,-6223.740863203071,236.57457681848874
0.67,5.264519449330668,4889732.616569603,3952715.921230938,2.2707974130240656,0.5792459443658685,3.9453869644267807,0.09354416733930869,1.330618901202896,0.0021226473172183424,1.0707030190931994,-6139.264473343268,236.13377790955454
0.68,5.241811475200427,4883593.35209626,3973236.0953712836,2.23856858047243,0.5755575900408507,3.9143138262975787,0.0935863308224441,1.3380867522553546,0.0021081741567701546,1.064947443192791,-6055.876562139019,235.68712848743056
0.6900000000000001,5.219425789395703,4877537.475534121,3993051.3427863633,2.2068120040748145,0.571892975323805,3.8835010491652655,0.09362820697280494,1.3453054960710966,0.0020938075180423742,1.059228513439553,-5973.593905135989,235.23472714254143
0.7000000000000001,5.197357669354955,4871563.881628985,4012175.5443084063,2.1755318788118547,0.5682532272134071,3.8529573507689103,0.09366979799682228,1.3522798915436987,0.0020795512008666387,1.0535459811674188,-5892.432971652597,234.77674654061835
0.7100000000000001,5.1756023505668365,4865671.448657332,4030622.5229628514,2.144732288311246,0.564639491370881,3.8226915348144668,0.09371110617818586,1.3590146780314611,0.002065409068179035,1.04789958625371,-5812.409891907126,234.31328673037663
0.72,5.154155027683724,4859859.038765425,4048406.0429681106,2.114417191288641,0.5610529305800604,3.7927124759806374,0.09375213387899327,1.3655145754220626,0.0020513850403703266,1.0422890569479093,-5733.540421498939,233.84451439590507
0.73,5.133010855770838,4854125.498343926,4065539.808518846,2.0845904074093786,0.5574947230192926,3.763029103507683,0.0937928835407726,1.3717842837970016,0.002037483088966545,1.0367141097177164,-5655.839905468747,233.37054614562473
0.74,5.1121649516967445,4848469.658438457,4082037.4623427163,2.0552556026108793,0.5539660603385292,3.733650383355005,0.09383335768536495,1.3778284831151004,0.0020237072296173156,1.031174449114331,-5579.3232392035425,232.89162365253281
0.75,5.091612395670635,4842890.335199254,4097912.5840206747,2.0264162739277247,0.5504681455375198,3.7045852989188686,0.09387355891565252,1.3836518327948626,0.002010061514378648,1.025669767658956,-5504.004828882404,232.40793154128983
0.76,5.071348232931358,4837386.330370371,4113178.6880619903,1.9980757338739181,0.547002190641718,3.675842830318288,0.09391348991611811,1.3892589712356405,0.001996550023279483,1.0201997457525387,-5429.89854928758,231.91973314736916
0.77,5.051367475592619,4831956.431821084,4127849.2217274467,1.970237094442567,0.5435694141745735,3.64743193226812,0.09395315345322149,1.3946545152750538,0.0019831768551687805,1.014764051610793,-5357.017701396719,231.42727600217978
0.78,5.031665104648193,4826599.414119687,4141937.5625937274,1.9429032507930613,0.5401710384263139,3.619361510574583,0.09399255237557838,1.3998430595077191,0.001969946117845093,1.0093623412265298,-5285.374968212098,230.9309892729731
0.79,5.012236072140262,4821314.039151475,4155457.0158547624,1.9160768647075062,0.5368082865214037,3.591640397307673,0.09403168961392794,1.404829175572794,0.0019568619174781276,1.0039942583613157,-5214.9823690820485,230.43119334583793
0.8,4.993075303493187,4816099.056782393,4168420.811874106,1.8897603479028497,0.5334823792893674,3.5642773247181547,0.09407056818087475,1.4096174113285904,0.0019439283473407984,0.9986594345684221,-5145.851214757189,229.92841808777203
0.81,4.974177700014159,4810953.205567636,4180842.1019262997,1.8639558445428717,0.5301945319454856,3.5372808972013328,0.09410919117039229,1.4142122580479155,0.0019311494758767953,0.9933574892489673,-5077.992060604505,229.42322789551568
0.8200000000000001,4.95553814156873,4805875.213507031,4192733.955164682,1.8386652160406618,0.5269459504948046,3.510659564515892,0.0941475617570681,1.418618243728869,0.0019185293337897393,0.9880880297440192,-5011.414657651447,228.91628506810085
0.8300000000000001,4.937151489408323,4800863.79884938,4204109.3549009785,1.8138900239131799,0.5237378282488657,3.484421591886652,0.09418568319509955,1.42283984162696,0.001906071901573293,0.9828506514615306,-4946.1279122158885,228.40834311396003
0.8400000000000001,4.919012589169191,4795917.670937164,4214981.194583113,1.7896315135317817,0.5205713419227904,3.458575029937615,0.09422355881701042,1.4268814944605874,0.0018937810955430966,0.9776449380423027,-4882.139836056158,227.90028986577352
0.85,4.901116274033873,4791035.531101108,4225362.862173514,1.7658905983640023,0.517447647670105,3.4331276840799876,0.0942611920320839,1.4307476156895844,0.0018816607536739872,0.9724704615656017,-4819.457502247766,227.3931089291407
0.86,4.883457368050233,4786216.07359886,4235266.445490948,1.742666922436924,0.5143678770098605,3.4080860913898685,0.09429858632450544,1.4344061889639639,0.0018697146210769158,0.9673267827955031,-4758.087001324631,226.8879011374902
0.87,4.866030698825863,4781457.986597535,4244704.542445471,1.7199616312406791,0.5113330108765646,3.3834584738703724,0.09433574524235869,1.437934815432506,0.00185794589266215,0.9622134526867374,-4698.0301097026095,226.38567201108754
0.88,4.848831082513456,4776759.956487833,4253689.64255279,1.6977745532875297,0.5083442414096478,3.3592517137658726,0.09437267241293014,1.4413009425000545,0.0018463585285727203,0.9571300102726409,-4639.295203224756,225.8877823351644
0.89,4.831853336980581,4772120.661284608,4262234.12180718,1.6761051313481,0.5054026009215749,3.335472325952023,0.09440937153103701,1.4445088525295158,0.00183495590534387,0.9520759842634251,-4581.88380560372,225.3959154198658
